"Abbreviation"	"Reaction"	"Description"
"R10946p"	"C20968[p] <=> C05989[p] + C00409[p]"	"3-hydroxy-3-(methylthio)propanoyl-CoA methanethiol-lyase"
"R13365p"	"C02189[p] + C02743[p] <=> C22954[p] + C00001[p]"	"[protein]-lanthionine hydrolase"
"R11848p"	"C11901[p] + C00001[p] <=> C21709[p] + C00013[p]"	"(+)-copalyl-diphosphate diphosphate-lyase (cyclizing, nezukol-forming)"
"R01446p"	"C00424[p] + C00003[p] + C00001[p] <=> C00186[p] + C00004[p] + C00080[p]"	"(S)-lactaldehyde:NAD+ oxidoreductase"
"R04772p"	"C00019[p] + C05335[p] <=> C00021[p] + C05690[p]"	"S-adenosyl-L-methionine:L-methionine S-methyltransferase"
"R03286p"	"C00002[p] + C01152[p] + C00099[p] <=> C00008[p] + C00009[p] + C01262[p]"	"N(pi)-methyl-L-histidine:beta-alanine ligase (ADP-forming)"
"R01117p"	"C00063[p] + C00270[p] <=> C00013[p] + C00128[p]"	"CTP:N-acetylneuraminate cytidylyltransferase"
"R11671p"	"C00083[p] + C00024[p] <=> C05223[p]"	"X"
"R10465p"	"C00203[p] + C17556[p] <=> C00105[p] + C20620[p]"	"UDP-N-acetyl-alpha-D-galactosamine:ditrans,octacis-undecaprenyl phosphate N-acetyl-D-galactosaminephosphotransferase"
"R12678p"	"C02941[p] + C00028[p] + C00001[p] <=> C22326[p] + C00030[p]"	"3-oxo-Delta1-steroid:acceptor 1-oxidoreductase"
"R07422p"	"C11130[p] + C03024[p] + C00007[p] <=> C15769[p] + C03161[p] + C00001[p]"	"3-hydroxyindolin-2-one,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (2-hydroxy-2H-1,4-benzoxazin-3(4H)-one-forming)"
"R00444p"	"C00201[p] + C00046[p] <=> C00013[p] + C00046[p]"	"nucleoside-triphosphate:RNA nucleotidyltransferase (DNA-directed);"
"R00490p"	"C00049[p] <=> C00122[p] + C00014[p]"	"L-aspartate ammonia-lyase (fumarate-forming)"
"R06879p"	"C13623[p] <=> C13624[p] + C13645[p]"	"X"
"R07605p"	"C16675[p] + 2 C00006[p] <=> C15996[p] + 2 C00005[p] + 2 C00080[p]"	"7-aminomethyl-7-carbaguanine:NADP+ oxidoreductase"
"R04970p"	"C05764[p] + C00006[p] <=> C05763[p] + C00005[p] + C00080[p]"	"hexadecanoyl-[acp]:NADP+ trans-2-oxidoreductase"
"R06199p"	"G10545[p] + C00001[p] <=> C00267[p] + G10545[p]"	"X"
"R00617p"	"C00002[p] + C01081[p] <=> C00008[p] + C00068[p]"	"ATP:thiamin-phosphate phosphotransferase"
"R04190p"	"C00019[p] + C03306[p] <=> C00021[p] + C04311[p]"	"S-adenosyl-L-methionine:protein-L-isoaspartate O-methyltransferase"
"R03802p"	"C06218[p] + C00001[p] <=> C02013[p] + C00031[p]"	"1,4-beta-D-glucan glucohydrolase"
"R06145p"	"G00246[p] + G10609[p] <=> G00304[p] + G10619[p]"	"X"
"R04994p"	"C21084[p] + C00019[p] <=> C03313[p] + C00021[p]"	"S-adenosyl-L-methionine:2-phytyl-1,4-naphthoquinol C-methyltransferase"
"R01050p"	"C00002[p] + C00117[p] <=> C00008[p] + C01151[p]"	"ATP:D-ribose-5-phosphate 1-phosphotransferase"
"R11935p"	"C00019[p] + C21778[p] <=> C00021[p] + C21779[p]"	"S-adenosyl-L-methionine:norbaeocystin N-methyltransferase"
"R06832p"	"C12832[p] + C00003[p] <=> C12831[p] + C00004[p] + C00080[p]"	"3,4,6-trichloro-cis-1,2-dihydroxycyclohexa-3,5-diene:NAD+ oxidoreductase"
"R01404p"	"C00173[p] + C00006[p] <=> C00693[p] + C00005[p] + C00080[p]"	"acyl-[acyl-carrier protein]:NADP+ oxidoreductase"
"R09088p"	"C00180[p] + C00022[p] <=> C17268[p] + C00011[p]"	"X"
"R05317p"	"C00078[p] + C00007[p] <=> C06732[p] + C00027[p]"	"L-tryptophan:oxygen alpha,beta-oxidoreductase"
"R06631p"	"C06620[p] + C00025[p] <=> C12318[p] + C00026[p]"	"dTDP-3-amino-2,3,6-trideoxy-4-keto-D-glucose:2-oxoglutarate aminotransferase"
"R03486p"	"C00052[p] + C01290[p] <=> C00015[p] + C04737[p]"	"UDP-alpha-D-galactose:beta-D-galactosyl-(1->4)-D-glucosyl-(1<->1)-ceramide 4II-alpha-D-galactosyltransferase"
"R07225p"	"2 C15525[p] + C00007[p] <=> 2 C08576[p] + 2 C00001[p]"	"2',3,4,4',6'-pentahydroxychalcone:oxygen oxidoreductase"
"R02427p"	"C02266[p] + C00001[p] <=> C00502[p]"	"D-xylono-1,5-lactone lactonohydrolase"
"R09558p"	"C00448[p] <=> C19619[p] + C00013[p]"	"(2E,6E)-farnesyl-diphosphate diphosphate-lyase [(+)-germacrene-D-forming]"
"R02930p"	"C01047[p] + C00001[p] <=> C00025[p] + C00797[p]"	"N5-ethyl-L-glutamine amidohydrolase"
"R03022p"	"C03045[p] + C00003[p] <=> C00869[p] + C00004[p] + C00080[p]"	"(S)-2-hydroxystearate:NAD+ oxidoreductase"
"R02545p"	"C00552[p] + C00003[p] <=> C03459[p] + C00004[p] + C00080[p]"	"meso-tartaric acid:NAD+ oxidoreductase"
"R07088p"	"C14039[p] + C00005[p] + C00007[p] + C00080[p] <=> C14858[p] + C00006[p] + C00001[p]"	"1,1-dichloroethylene,NADPH:oxygen oxidoreductase (RH-hydroxylating or -epoxidizing)"
"R02210p"	"C00410[p] + C00007[p] + C00005[p] + C00080[p] <=> C03027[p] + C00006[p] + C00001[p]"	"ketosteroid,NADPH:oxygen oxidoreductase (20-hydroxylating, ester-producing/20-hydroxylating, side-chain cleaving/17-hydroxylating, lactonizing)"
"R04134p"	"C03063[p] <=> C05600[p]"	"X"
"R10841p"	"C00333[p] + C00003[p] <=> C20889[p] + C00004[p] + C00080[p]"	"D-galacturonate:NAD+ 1-oxidoreductase"
"R11255p"	"C21249[p] <=> C17699[p]"	"X"
"R11301p"	"C17705[p] <=> C21269[p]"	"X"
"R09480p"	"C00226[p] + 2 C05357[p] <=> C00071[p] + 2 C05358[p] + 2 C00080[p]"	"alcohol:azurin oxidoreductase"
"R05072p"	"C00320[p] + C00950[p] + C00080[p] <=> C00094[p] + C00283[p] + C06484[p]"	"thiosulfate:dithioerythritol sulfurtransferase"
"R12000p"	"C00748[p] <=> C21835[p] + 2 C00011[p]"	"siroheme carboxy-lyase"
"R07208p"	"C13550[p] + C03024[p] + C00007[p] <=> C15518[p] + C03161[p] + C00001[p]"	"(24S)-cholest-5-ene-3beta,24-diol,NADPH-hemoprotein reductase:oxygen oxidoreductase (7alpha-hydroxylating)"
"R01221p"	"C00037[p] + C00101[p] + C00003[p] <=> C00143[p] + C00014[p] + C00011[p] + C00004[p] + C00080[p]"	"glycine:NAD+ 2-oxidoreductase (tetrahydrofolate-methylene-adding);"
"R07453p"	"C15786[p] + C00007[p] + C03024[p] <=> C15797[p] + C03161[p] + C00001[p]"	"5alpha-campestan-3-one,NADPH---hemoprotein reductase:oxygen 22S-oxidoreductase (hydroxylating)"
"R07078p"	"C14844[p] <=> C14843[p]"	"X"
"R08284p"	"C07646[p] <=> C16552[p]"	"X"
"R05799p"	"C00002[p] + C01204[p] <=> C00008[p] + C11174[p]"	"ATP:1D-myo-inositol-hexakisphosphate phosphotransferase"
"R04763p"	"C01802[p] + C00019[p] <=> C05440[p] + C00021[p]"	"X"
"R08236p"	"C02380[p] + C00019[p] <=> C16614[p] + C00021[p]"	"S-adenosyl-L-methionine:6-mercaptopurin S-methyltransferase"
"R01613p"	"C00223[p] + 3 C00083[p] <=> C06561[p] + 4 C00010[p] + 3 C00011[p]"	"malonyl-CoA:4-coumaroyl-CoA malonyltransferase(cyclizing)"
"R08532p"	"C00024[p] + C01765[p] <=> C00010[p] + C11338[p]"	"acetyl-CoA:monoterpenol O-acetyltransferase"
"R12550p"	"C02528[p] + C03024[p] + C00007[p] <=> C00695[p] + C03161[p] + C00001[p]"	"chenodeoxycholate,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (12alpha-hydroxylating)"
"R10780p"	"C20847[p] + C00002[p] <=> C20848[p] + C00008[p]"	"ATP:(R)-3-phosphomevalonate 5-phosphotransferase"
"R01961p"	"C00002[p] + C00329[p] <=> C00008[p] + C00352[p]"	"ATP:D-glucosamine 6-phosphotransferase"
"R10853p"	"C11101[p] + C00007[p] <=> C20899[p] + C00027[p]"	"X"
"R10854p"	"C20899[p] + C00001[p] <=> C20900[p]"	"X"
"R03375p"	"C00063[p] + C01210[p] <=> C00013[p] + C03486[p]"	"CTP:N-methylethanolamine-phosphate cytidylyltransferase"
"R08385p"	"C16681[p] + C00003[p] + C00001[p] <=> C15493[p] + C00004[p] + C00080[p]"	"retinal:NAD+ oxidoreductase"
"R00473p"	"C04348[p] <=> C00024[p] + C00048[p]"	"L-malyl-CoA glyoxylate-lyase (acetyl-CoA-forming)"
"R00090p"	"C00027[p] + C00004[p] + C00080[p] <=> C00003[p] + 2 C00001[p]"	"NADH:hydrogen-peroxide oxidoreductase"
"R05040p"	"C05786[p] + C00028[p] <=> C05913[p] + C00030[p] + 2 C00080[p]"	"X"
"R08335p"	"C16651[p] <=> C16652[p]"	"X"
"R07953p"	"C16173[p] + C00024[p] <=> C00010[p] + C16389[p]"	"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA:acetyl-CoA C-acyltransferase"
"R09639p"	"C00019[p] + C00698[p] <=> C19768[p] + C00073[p]"	"S-adenosyl-L-methionine:chloride adenosyltransferase"
"R10361p"	"C20531[p] + C00005[p] + C00007[p] + C00080[p] <=> C20553[p] + C00006[p] + 2 C00001[p]"	"X"
"R03298p"	"C01159[p] + C00002[p] <=> C06189[p] + C00008[p] + C00009[p]"	"(2R)-2,3-bisphosphoglycerate ligase (cyclizing)"
"R11797p"	"3 C00019[p] + C21672[p] <=> 3 C00021[p] + C21675[p]"	"S-adenosyl-L-methionine:ornithine-lipid N-methyltransferase"
"R03587p"	"C00019[p] + C01514[p] <=> C00021[p] + C04293[p]"	"S-adenosyl-L-methionine:5,7,3',4'-tetrahydroxyflavone 3'-O-methyltransferase"
"R01310p"	"C00157[p] + C00001[p] <=> C00416[p] + C00114[p]"	"phosphatidylcholine phosphatidohydrolase"
"R04281p"	"C00169[p] + C04448[p] <=> C00009[p] + C03674[p]"	"carbamoyl-phosphate:3-hydroxymethylceph-3-em-4-carboxylate carbamoyltransferase"
"R08211p"	"C00576[p] + C00007[p] + C00001[p] <=> C00719[p] + C00027[p]"	"betaine aldehyde:oxygen oxidoreductase"
"R10765p"	"C22078[p] <=> C20830[p]"	"6-deoxy-6-sulfo-D-glucopyranose aldose-ketose-isomerase"
"R04065p"	"C05130[p] + C00003[p] + C00001[p] <=> C02835[p] + C00004[p] + C00080[p]"	"imidazole acetaldehyde:NAD+ oxidoreductase"
"R02422p"	"C00499[p] + C00001[p] <=> C00603[p] + C00086[p]"	"allantoate amidinohydrolase"
"R06155p"	"G10615[p] + G00037[p] <=> G10620[p] + G00046[p]"	"X"
"R12849p"	"C06543[p] <=> C10820[p]"	"X"
"R03210p"	"C01063[p] + C00041[p] <=> C01092[p] + C00010[p] + C00011[p]"	"pimeloyl-CoA:L-alanine C-carboxyhexanoyltransferase (decarboxylating)"
"R11912p"	"C00398[p] + C00030[p] + C00007[p] <=> C21762[p] + C00028[p] + C00001[p]"	"tryptamine,hydrogen-donor:oxygen oxidoreductase (4-hydroxylating)"
"R09233p"	"C11006[p] + C00004[p] + C00007[p] + C00080[p] <=> C18315[p] + C00003[p] + C00088[p]"	"2,4-dinitrotoluene,NADH:oxygen oxidoreductase (4,5-hydroxylating, nitrite-releasing)"
"R08431p"	"C06178[p] <=> C00783[p]"	"X"
"R12178p"	"C21978[p] + C00030[p] + C00007[p] <=> C21979[p] + C00028[p] + C00001[p]"	"cyclooctat-9-ene-5,7-diol,hydrogen-donor:oxygen oxidoreductase (18-hydroxylating)"
"R01014p"	"C03394[p] <=> C00111[p] + C00067[p]"	"erythrulose-1-phosphate formaldehyde-lyase (glycerone-phosphate-forming)"
"R11060p"	"C16164[p] + 2 C00999[p] + C00007[p] + 2 C00080[p] <=> C16165[p] + 2 C00996[p] + 2 C00001[p]"	"(8Z,11Z,14Z,17Z)-icosatetraenoyl-CoA,ferrocytochrome-b5:oxygen oxidoreductase (5,6-cis-dehydrogenating)"
"R03983p"	"C02583[p] + C01664[p] <=> C03636[p] + C00014[p]"	"protein-glutamine:amine gamma-glutamyltransferase"
"R04604p"	"C00002[p] + C00120[p] + C04827[p] <=> C00020[p] + C00013[p] + C04801[p]"	"biotin:apo-[3-methylcrotonoyl-CoA:carbon-dioxide ligase (ADP-forming)] ligase (AMP-forming)"
"R13280p"	"C22876[p] + C00031[p] <=> C01083[p] + C22855[p]"	"trehalose monomycolate:D-glucose 6-mycolyltransferase"
"R08004p"	"C16416[p] + C00019[p] <=> C16417[p] + C00021[p]"	"S-adenosyl-L-methionine:desmethylxanthohumol 6'-O-methyltransferase"
"R08085p"	"C11386[p] + C00006[p] <=> C11384[p] + C00005[p] + C00080[p]"	"X"
"R08464p"	"C08301[p] <=> C08300[p]"	"X"
"R02319p"	"C00201[p] + C00001[p] <=> C00454[p] + C00009[p]"	"NTP phosphohydrolase"
"R04274p"	"C00002[p] + C03638[p] <=> C00020[p] + C00013[p] + C04312[p]"	"RNA-3'-phosphate:RNA ligase (cyclizing, AMP-forming)"
"R03354p"	"C01190[p] + C00052[p] <=> C01290[p] + C00015[p]"	"UDP-alpha-D-galactose:beta-D-glucosyl-(1<->1)-ceramide 4-beta-D-galactosyltransferase"
"R09739p"	"C00072[p] + C14819[p] <=> C01041[p] + C14818[p]"	"Fe(III):ascorbate oxidorectuctase (electron-translocating)"
"R04432p"	"C04253[p] + C00100[p] <=> C04570[p] + C00894[p]"	"propanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase"
"R07170p"	"C03043[p] + C00001[p] + C00007[p] <=> C01297[p] + C00027[p]"	"(R)-6-hydroxynicotine:oxygen oxidoreductase"
"R09620p"	"C00448[p] <=> C16814[p] + C00013[p]"	"(2E,6E)-farnesyl-diphosphate diphosphate-lyase [(Z)-gamma-bisabolene-forming]"
"R11666p"	"C21573[p] + C00004[p] + C00080[p] <=> C21574[p] + C00003[p] + C00001[p]"	"4-keto-2-undecylpyrroline,NADH: oxidoreductase"
"R11189p"	"C21159[p] + C00001[p] <=> C00132[p] + C02496[p]"	"2,4-dinitroanisole hydrolase"
"R12794p"	"C00053[p] + C21885[p] <=> C00054[p] + C22399[p]"	"3'-phosphoadenylyl-sulfate:omega-hydroxy-beta-dihydromenaquinone-9 sulfotransferase"
"R02061p"	"C00448[p] + C00129[p] <=> C00013[p] + C00353[p]"	"trans,trans-farnesyl-diphosphate:isopentenyl-diphosphate farnesyltranstransferase"
"R11291p"	"C21265[p] + C00025[p] <=> C21266[p] + C00026[p]"	"3''-dehydro-3''-amino-gentamicin-A2:2-oxoglutarate aminotransferase"
"R07431p"	"C15790[p] + C00007[p] + C00030[p] <=> C15791[p] + C00001[p] + C00028[p]"	"6-deoxo-cathasterone:brassinosteroid C23alpha-hydroxylase"
"R13115p"	"C00308[p] + C00001[p] <=> C00263[p] + C22626[p]"	"L-canavanine N-hydroxyguanidine-lyase (L-homoserine-forming)"
"R07779p"	"C04178[p] + 2 C00005[p] + 2 C00080[p] + C00007[p] <=> C16248[p] + 2 C00006[p] + C01326[p] + C00001[p]"	"bromoxynil,NADPH:oxygen oxidoreductase"
"R05761p"	"C11496[p] <=> C11506[p] + C03576[p]"	"(R)-2-hydroxypropyl-CoM:2-mercaptoethanesulfonate lyase (epoxyalkane-ring-forming)"
"R02804p"	"C00697[p] + 2 C00125[p] + C00001[p] <=> C00887[p] + 2 C00126[p] + 2 C00080[p]"	"nitrogen:ferricytochrome-c oxidoreductase (N2O-forming)"
"R04412p"	"C01760[p] + C00003[p] <=> C02533[p] + C00004[p] + C00080[p]"	"vomifoliol:NAD+ oxidoreductase"
"R02138p"	"C00154[p] + C00381[p] <=> C00010[p] + C02536[p]"	"palmitoyl-CoA:dolichol O-palmitoyltransferase"
"R08303p"	"C07501[p] + C00005[p] + C00080[p] + C00007[p] <=> C16584[p] + C00006[p] + C00001[p]"	"X"
"R06110p"	"G10517[p] + C00001[p] <=> C00221[p] + C01113[p]"	"X"
"R06588p"	"C00002[p] + C12212[p] <=> C00008[p] + C12213[p]"	"ATP:kanosamine 6-phosphotransferase"
"R13177p"	"C00810[p] + C00010[p] + C00003[p] <=> C00084[p] + C00024[p] + C00004[p] + C00080[p]"	"acetyl-CoA:acetaldehyde acetyltransferase"
"R06501p"	"C08616[p] + C00007[p] <=> C08980[p]"	"X"
"R03180p"	"C03078[p] + C00001[p] <=> C01035[p] + C00014[p]"	"4-guanidinobutanamide amidohydrolase"
"R03806p"	"C06095[p] + C00026[p] + C00007[p] <=> C02034[p] + C00042[p] + C00011[p] + C00001[p]"	"(gibberellin-44),2-oxoglutarate:oxygen oxidoreductase"
"R09423p"	"C16453[p] + C00007[p] + C00005[p] + C00080[p] <=> C19566[p] + C00001[p] + C00006[p]"	"X"
"R07341p"	"C00215[p] + C02269[p] <=> C00801[p] + C00676[p]"	"nucleotide:nucleoside 5'-phosphotransferase"
"R11379p"	"G10611[p] + G11492[p] <=> G10619[p] + G13080[p]"	"X"
"R07911p"	"C12138[p] + C00029[p] <=> C16312[p] + C00015[p]"	"UDP-alpha-D-glucose:delphinidin-3-O-beta-D-glucoside 5-O-glucosyltransferase"
"R06093p"	"G10488[p] + C00001[p] <=> C00137[p] + C00124[p]"	"X"
"R10228p"	"C20456[p] + C00006[p] <=> C20454[p] + C00005[p] + C00080[p]"	"(+)-secoisolariciresinol:NADPH+ oxidoreductase"
"R02420p"	"C00498[p] + C00017[p] <=> C00008[p] + C01140[p]"	"ADPglucose:protein 4-alpha-D-glucosyltransferase"
"R00548p"	"C00061[p] + C00001[p] <=> C00255[p] + C00009[p]"	"riboflavin-5-phosphate phosphohydrolase"
"R07773p"	"C16243[p] + C00019[p] <=> C11542[p] + C00021[p]"	"S-adenosyl-L-methionine:cobalt-precorrin-5B (C1)-methyltransferase"
"R02466p"	"C00606[p] <=> C00519[p] + C00011[p]"	"3-sulfino-L-alanine carboxy-lyase"
"R11954p"	"C00019[p] + C21653[p] <=> C00021[p] + C21800[p]"	"S-adenosyl-L-methionine:(+)-kolavelool O-methyltransferase"
"R08155p"	"C09694[p] <=> C16508[p]"	"X"
"R00942p"	"C00002[p] + C00101[p] + C00025[p] <=> C00008[p] + C00009[p] + C09332[p]"	"tetrahydrofolate:L-glutamate gamma-ligase (ADP-forming)"
"R10644p"	"C20749[p] + C00318[p] <=> C01181[p] + C20750[p]"	"4-trimethylammoniobutanoyl-CoA:L-carnitine CoA-transferase"
"R03978p"	"C02528[p] + C01352[p] <=> C03990[p] + C00016[p] + C00001[p]"	"lithocholate:FAD oxidoreductase (7alpha-dehydroxylating)"
"R06081p"	"G10483[p] + C00001[p] <=> C00140[p] + G10483[p]"	"X"
"R01967p"	"C00002[p] + C00330[p] <=> C00008[p] + C00362[p]"	"ATP:deoxyguanosine 5'-phosphotransferase"
"R10239p"	"7 C00083[p] + C05749[p] <=> 7 C00010[p] + C20453[p] + C00229[p] + 7 C00011[p] + 2 C00001[p]"	"malonyl-CoA:hexanoate malonyltransferase (norsolorinic acid anthrone-forming)"
"R09068p"	"C05307[p] + C00001[p] <=> C16541[p] + C01389[p]"	"chlorophyll chlorophyllidohydrolase"
"R08091p"	"C16466[p] + C00010[p] <=> C16470[p] + C00024[p]"	"7-methyl-3-oxo-6-octenoyl-CoA:acetyl-CoA C-acyltransferase"
"R00029p"	"2 C00320[p] + 2 C00125[p] <=> C02084[p] + 2 C00126[p]"	"thiosulfate:ferricytochrome-c oxidoreductase"
"R07539p"	"C15903[p] + C00001[p] <=> C15905[p]"	"lycopene hydro-lyase (1-hydroxy-1,2-dihydrolycopene-forming)"
"R11942p"	"C09794[p] + C00001[p] <=> C21786[p] + C00031[p]"	"oleuropein 2-beta-D-glucohydrolase"
"R10225p"	"C10646[p] + C00006[p] <=> C05366[p] + C00005[p] + C00080[p]"	"(+)-lariciresinol:NADP+ oxidoreductase"
"R12200p"	"C03889[p] + C21984[p] <=> C04233[p] + C21983[p]"	"1-palmitoyl-2-acyl-sn-glycero-3-phosphocholine:deacyl-lipid-IVA palmitoyltransferase"
"R03332p"	"C01194[p] + C00001[p] <=> C01177[p] + C00641[p]"	"1-phosphatidyl-D-myo-inositol inositolphosphohydrolase"
"R03754p"	"C00002[p] + C15590[p] <=> C00008[p] + C03849[p]"	"ATP:acylglycerol 3-phosphotransferase"
"R10522p"	"C20649[p] + C00026[p] + C00007[p] <=> C20661[p] + C00042[p] + C00011[p]"	"tRNAPhe 7-(3-amino-3-carboxypropyl)wyosine37,2-oxoglutarate:oxygen oxidoreductase (2-hydroxylating)"
"R00366p"	"C00037[p] + C00001[p] + C00007[p] <=> C00048[p] + C00014[p] + C00027[p]"	"glycine:oxygen oxidoreductase (deaminating);"
"R01053p"	"C00002[p] + C00117[p] + C00014[p] <=> C00008[p] + C00009[p] + C03090[p]"	"ribose-5-phosphate:ammonia ligase (ADP-forming)"
"R01418p"	"C00179[p] + C00086[p] <=> C03047[p] + C00001[p]"	"1,4-diguanidinobutane amidinohydrolase"
"R09566p"	"4 C19688[p] + C00007[p] <=> 2 C19698[p] + 2 C00014[p] + 2 C00001[p]"	"2-imino-3-(7-chloroindol-3-yl)propanoate ammonia-lyase (dichlorochromopyrrolate-forming);"
"R03966p"	"C02501[p] <=> C03453[p]"	"X"
"R00588p"	"C00065[p] + C00048[p] <=> C00168[p] + C00037[p]"	"L-serine:glyoxylate aminotransferase"
"R03448p"	"C04277[p] + C00001[p] <=> C01255[p]"	"1,8-diazacyclotetradecane-2,9-dione lactamhydrolase"
"R10081p"	"C00026[p] + C00062[p] + C00007[p] <=> C00042[p] + C00011[p] + C20330[p]"	"L-arginine,2-oxoglutarate:oxygen oxidoreductase (5-hydroxylating)"
"R10902p"	"C00002[p] + C00483[p] + C00025[p] <=> C00008[p] + C00009[p] + C20926[p]"	"tyramine:L-glutamate gamma-ligase (ADP-forming)"
"R13002p"	"C22512[p] + C00009[p] <=> C00124[p] + C00103[p]"	"solabiose:phosphate alpha-D-glucosyltransferase"
"R11404p"	"C02787[p] + C01847[p] + C00007[p] <=> C21369[p] + C00061[p] + C00001[p]"	"2-methylpropan-1-amine,FADH2:O2 N-oxidoreductase"
"R01825p"	"C00279[p] + C00003[p] + C00001[p] <=> C03393[p] + C00004[p] + C00080[p]"	"D-erythrose 4-phosphate:NAD+ oxidoreductase"
"R08528p"	"C00341[p] + C00129[p] <=> C16826[p] + C00013[p]"	"Z-farnesyl diphosphate synthase"
"R01012p"	"C00074[p] + C00184[p] <=> C00022[p] + C00111[p]"	"phosphoenolpyruvate:glycerone phosphotransferase"
"R08669p"	"C17244[p] + C00053[p] <=> C08412[p] + C00054[p]"	"3'-phosphoadenylyl-sulfate:3-methylthiopropyl-desulfoglucosinolate sulfotransferase"
"R04662p"	"C00043[p] + C04880[p] <=> C00015[p] + C04943[p]"	"UDP-N-acetyl-D-glucosamine:3-[2-(N-acetyl-beta-D-glucosaminyl)-alpha-D-mannosyl]-glycoprotein 4-beta-N-acetyl-D-glucosaminyltransferase"
"R05323p"	"C00019[p] + C04443[p] <=> C00021[p] + C01265[p]"	"S-adenosyl-L-methionine:3',4',5,7-tetrahydroxy-3-methoxyflavone 7-O-methyltransferase"
"R11584p"	"C00630[p] + 3 C00083[p] <=> 4 C00010[p] + 3 C00011[p] + C07351[p]"	"isobutyryl-CoA:malonyl-CoA acyltransferase"
"R11386p"	"C21331[p] <=> C21141[p]"	"aurachin-C-epoxide mutase"
"R12110p"	"C21909[p] + C00003[p] <=> C21471[p] + C00004[p] + C00080[p]"	"3-oxochenodeoxycholoyl-CoA Delta4-oxidoreductase"
"R08309p"	"C16587[p] <=> C16595[p]"	"X"
"R04218p"	"C03427[p] <=> C00013[p] + C05421[p]"	"prephytoene diphosphate:geranylgeranyl-diphosphate geranylgeranyltransferase"
"R05275p"	"C04783[p] + C00003[p] <=> C03233[p] + C00004[p] + C00080[p]"	"cis-4,5-dihydroxycyclohexa-1(6),2-diene-1,2-dicarboxylate:NAD+ oxidoreductase"
"R13360p"	"C00846[p] + C00024[p] <=> C00164[p] + C00091[p]"	"3-oxoadipate:acetyl-CoA acetyltransferase"
"R11104p"	"C00004[p] + C00001[p] <=> C00020[p] + C21113[p]"	"NADH phosphohydrolase"
"R11636p"	"C00063[p] + C00058[p] <=> C00458[p] + C00011[p] + C00001[p]"	"CTP:formate 2'-oxidoreductase"
"R09687p"	"C02569[p] <=> C19818[p] + C00013[p]"	"neryl-diphosphate diphosphate-lyase [cyclizing; beta-phellandrene-forming]"
"R09283p"	"C06028[p] <=> C18323[p]"	"2-methylfumaryl-CoA 1,4-CoA-mutase"
"R13339p"	"C22929[p] <=> C22930[p]"	"S-adenosyl-L-methionine:hydroxystrychnine O-methyltransferase"
"R08168p"	"C02937[p] + C00097[p] + C00005[p] + C00007[p] + C00080[p] <=> C16518[p] + C00006[p] + 2 C00001[p]"	"indole-3-acetaldehyde-oxime,NADPH:oxidoreductase"
"R08909p"	"C18009[p] + C01759[p] <=> C00229[p] + C18005[p]"	"4-(gamma-L-glutamylamino)-(S)-2-hydroxybutanoyl-[acp]:ribostamycin 4-(gamma-L-glutamylamino)-(S)-2-hydroxybutanoate transferase"
"R05830p"	"C02793[p] + C01119[p] <=> C05849[p] + C00265[p]"	"2-hydroxy-2-methyl-3-phytyl-2,3-dihydronaphthoquinone:oxidized-dithiothreitol oxidoreductase"
"R06079p"	"C00031[p] + G10499[p] <=> G00370[p] + G10499[p]"	"X"
"R04789p"	"C05416[p] + C00007[p] + C00005[p] + C00080[p] <=> C05417[p] + C00006[p] + C00001[p]"	"X"
"R10038p"	"C20315[p] + C00005[p] + C00080[p] + C00007[p] <=> C02659[p] + C00006[p] + 2 C00001[p]"	"X"
"R03030p"	"C05231[p] <=> C00877[p] + C00014[p]"	"L-3-aminobutyryl-CoA ammonia-lyase"
"R06543p"	"C12136[p] + 2 C00006[p] <=> C05908[p] + 2 C00005[p] + C00080[p]"	"flavan-3-ol:NADP+ oxidoreductase"
"R09376p"	"C01304[p] + C00005[p] + C00080[p] <=> C18910[p] + C00006[p]"	"2,5-diamino-6-(5-phospho-D-ribitylamino)pyrimidin-4(3H)-one:NADP+ 1'-oxidoreductase"
"R04785p"	"C05422[p] + C00001[p] <=> C04575[p]"	"L-dehydroascorbate lactonohydrolase"
"R12453p"	"C09823[p] + C00006[p] <=> C09811[p] + C00005[p] + C00080[p]"	"cyclohexane-1-carbonyl-CoA:NADP+ 1-oxidoreductase"
"R02306p"	"C00448[p] <=> C01860[p] + C00013[p]"	"trans,trans-farnesyl-diphosphate diphosphate-lyase (cyclizing, trichodiene-forming)"
"R09301p"	"G10614[p] + G10737[p] <=> G10620[p] + G10842[p]"	"X"
"R04169p"	"C00019[p] + C03219[p] <=> C00021[p] + C03982[p]"	"S-adenosyl-L-methionine:2-methylpropanal-oxime O-methyltransferase"
"R05416p"	"C06728[p] + C00007[p] <=> C07123[p] + C00080[p]"	"X"
"R10034p"	"C03219[p] <=> C20315[p]"	"X"
"R10888p"	"C20914[p] + C00188[p] <=> C20915[p]"	"X"
"R00033p"	"C00378[p] + C00007[p] <=> C00027[p] + C05856[p]"	"thiamine:oxygen 5-oxidoreductase"
